MSN,YYYYMM,Value_x,Column_Order,Description,Unit,Month,Date,Value_y,c_v,Anomaly
CLTCBUS,198501,1.599226,1,Coal Consumption,Quadrillion Btu,1,1985-01-01,26.31,-3.161111111,-3.81
NNTCBUS,198501,2.155823,2,Natural Gas Consumption (Excluding Supplemental Gaseous Fuels),Quadrillion Btu,1,1985-01-01,26.31,-3.161111111,-3.81
PMTCBUS,198501,2.672391,3,Petroleum Consumption (Excluding Biofuels),Quadrillion Btu,1,1985-01-01,26.31,-3.161111111,-3.81
FFTCBUS,198501,6.42789,4,Total Fossil Fuels Consumption,Quadrillion Btu,1,1985-01-01,26.31,-3.161111111,-3.81
NUETBUS,198501,0.384371,5,Nuclear Electric Power Consumption,Quadrillion Btu,1,1985-01-01,26.31,-3.161111111,-3.81
HVTCBUS,198501,0.094973,6,Hydroelectric Power Consumption,Quadrillion Btu,1,1985-01-01,26.31,-3.161111111,-3.81
GETCBUS,198501,0.002641,7,Geothermal Energy Consumption,Quadrillion Btu,1,1985-01-01,26.31,-3.161111111,-3.81
SOTCBUS,198501,2.0E-6,8,Solar Energy Consumption,Quadrillion Btu,1,1985-01-01,26.31,-3.161111111,-3.81
WYTCBUS,198501,2.0E-6,9,Wind Energy Consumption,Quadrillion Btu,1,1985-01-01,26.31,-3.161111111,-3.81
BMTCBUS,198501,0.256315,10,Biomass Energy Consumption,Quadrillion Btu,1,1985-01-01,26.31,-3.161111111,-3.81
RETCBUS,198501,0.353933,11,Total Renewable Energy Consumption,Quadrillion Btu,1,1985-01-01,26.31,-3.161111111,-3.81
TETCBUS,198501,7.175982,12,Total Primary Energy Consumption,Quadrillion Btu,1,1985-01-01,26.31,-3.161111111,-3.81
CLTCBUS,198502,1.405395,1,Coal Consumption,Quadrillion Btu,2,1985-02-01,30.87,-0.627777778,-2.95
NNTCBUS,198502,2.206765,2,Natural Gas Consumption (Excluding Supplemental Gaseous Fuels),Quadrillion Btu,2,1985-02-01,30.87,-0.627777778,-2.95
PMTCBUS,198502,2.419434,3,Petroleum Consumption (Excluding Biofuels),Quadrillion Btu,2,1985-02-01,30.87,-0.627777778,-2.95
FFTCBUS,198502,6.03303,4,Total Fossil Fuels Consumption,Quadrillion Btu,2,1985-02-01,30.87,-0.627777778,-2.95
NUETBUS,198502,0.32729,5,Nuclear Electric Power Consumption,Quadrillion Btu,2,1985-02-01,30.87,-0.627777778,-2.95
HVTCBUS,198502,0.089219,6,Hydroelectric Power Consumption,Quadrillion Btu,2,1985-02-01,30.87,-0.627777778,-2.95
GETCBUS,198502,0.002332,7,Geothermal Energy Consumption,Quadrillion Btu,2,1985-02-01,30.87,-0.627777778,-2.95
SOTCBUS,198502,0,8,Solar Energy Consumption,Quadrillion Btu,2,1985-02-01,30.87,-0.627777778,-2.95
WYTCBUS,198502,4.0E-6,9,Wind Energy Consumption,Quadrillion Btu,2,1985-02-01,30.87,-0.627777778,-2.95
BMTCBUS,198502,0.231512,10,Biomass Energy Consumption,Quadrillion Btu,2,1985-02-01,30.87,-0.627777778,-2.95
RETCBUS,198502,0.323067,11,Total Renewable Energy Consumption,Quadrillion Btu,2,1985-02-01,30.87,-0.627777778,-2.95
TETCBUS,198502,6.691493,12,Total Primary Energy Consumption,Quadrillion Btu,2,1985-02-01,30.87,-0.627777778,-2.95
CLTCBUS,198503,1.385744,1,Coal Consumption,Quadrillion Btu,3,1985-03-01,43.48,6.377777778,1.98
NNTCBUS,198503,1.767205,2,Natural Gas Consumption (Excluding Supplemental Gaseous Fuels),Quadrillion Btu,3,1985-03-01,43.48,6.377777778,1.98
PMTCBUS,198503,2.557334,3,Petroleum Consumption (Excluding Biofuels),Quadrillion Btu,3,1985-03-01,43.48,6.377777778,1.98
FFTCBUS,198503,5.710393,4,Total Fossil Fuels Consumption,Quadrillion Btu,3,1985-03-01,43.48,6.377777778,1.98
NUETBUS,198503,0.32972,5,Nuclear Electric Power Consumption,Quadrillion Btu,3,1985-03-01,43.48,6.377777778,1.98
HVTCBUS,198503,0.085029,6,Hydroelectric Power Consumption,Quadrillion Btu,3,1985-03-01,43.48,6.377777778,1.98
GETCBUS,198503,0.002715,7,Geothermal Energy Consumption,Quadrillion Btu,3,1985-03-01,43.48,6.377777778,1.98
SOTCBUS,198503,0,8,Solar Energy Consumption,Quadrillion Btu,3,1985-03-01,43.48,6.377777778,1.98
WYTCBUS,198503,2.0E-6,9,Wind Energy Consumption,Quadrillion Btu,3,1985-03-01,43.48,6.377777778,1.98
BMTCBUS,198503,0.256336,10,Biomass Energy Consumption,Quadrillion Btu,3,1985-03-01,43.48,6.377777778,1.98
RETCBUS,198503,0.344083,11,Total Renewable Energy Consumption,Quadrillion Btu,3,1985-03-01,43.48,6.377777778,1.98
TETCBUS,198503,6.396633,12,Total Primary Energy Consumption,Quadrillion Btu,3,1985-03-01,43.48,6.377777778,1.98
CLTCBUS,198504,1.319424,1,Coal Consumption,Quadrillion Btu,4,1985-04-01,54.34,12.41111111,3.3
NNTCBUS,198504,1.481028,2,Natural Gas Consumption (Excluding Supplemental Gaseous Fuels),Quadrillion Btu,4,1985-04-01,54.34,12.41111111,3.3
PMTCBUS,198504,2.501434,3,Petroleum Consumption (Excluding Biofuels),Quadrillion Btu,4,1985-04-01,54.34,12.41111111,3.3
FFTCBUS,198504,5.302405,4,Total Fossil Fuels Consumption,Quadrillion Btu,4,1985-04-01,54.34,12.41111111,3.3
